LINKID,CELLID,LAC,
89,20822,54403,
93,20822,54403,
10070,20822,54403,
10069,20822,54403,
10068,20822,54403,
10067,20822,54403,
10066,20822,54403,
10065,20822,54403,
10064,20822,54403,
72,20822,54403,
71,20822,54403,
70,20822,54403,
68,20822,54403,
67,20822,54403,
69,20822,54403,
10089,20822,54403,
10099,20822,54403,
10078,20822,54403,
10105,20822,54403,
10096,20822,54403,
10103,20822,54403,
10107,20822,54403,
10104,20822,54403,
10101,20822,54403,
10100,20822,54403,
10090,20822,54403,
10091,20822,54403,
10097,20822,54403,
10102,20822,54403,
10098,20822,54403,
10106,20822,54403,
10128,20822,35417,Xianfu@Dongting
10127,20822,35417,
10126,20822,35417,
10125,20822,35417,
10123,20822,35417,
10120,20822,35417,
10122,20822,35417,
107,20822,35417,
122,20822,35417,
111,20822,35417,
110,20822,35417,
109,20822,35417,
108,20822,35417,
10129,20822,35417,
10130,20822,35417,
10131,20822,35417,
10136,20822,35417,
10139,20822,35417,
10138,20822,35417,
10137,20822,35417,
114,20822,35417,
113,20822,35417,
115,20822,35417,
116,20822,35417,
117,20822,35417,
118,20822,35417,
10112,20822,35417,
10113,20822,35417,
10114,20822,35417,
10111,20822,35417,
10108,20822,35417,
10109,20822,35417,
10110,20822,35417,
100,20822,35417,
99,20822,35417,
95,20822,35417,
98,20822,35417,
97,20822,35417,
96,20822,35417,
101,20822,35417,
10121,20822,35417,
10132,20822,35417,
106,20822,35417,
10119,20822,35417,
105,20822,35417,
103,20822,35417,
104,20822,35417,
102,20822,35417,
10118,20822,35417,
10115,20822,35417,
10116,20822,35417,
10117,20822,35417,
10146,20822,35417,
10124,20822,35417,
10148,20822,35417,
10140,20822,35417,
10147,20822,35417,
10149,20822,35417,
10143,20822,35417,
10150,20822,35417,
10141,20822,35417,
10142,20822,35417,
10134,20822,35417,
10133,20822,35417,
10114,20822,35417,
10135,20822,35417,
10145,20822,35417,
10151,20822,35417,
10003,20822,35416,Xianfu@Loujiang
10004,20822,35416,
10005,20822,35416,
10006,20822,35416,
10007,20822,35416,
10008,20822,35416,
23,20822,35416,
24,20822,35416,
25,20822,35416,
26,20822,35416,
27,20822,35416,
28,20822,35416,
10009,20822,35416,
10010,20822,35416,
10011,20822,35416,
10012,20822,35416,
10013,20822,35416,
10014,20822,35416,
29,20822,35416,
30,20822,35416,
31,20822,35416,
32,20822,35416,
34,20822,35416,
33,20822,35416,
10017,20822,35416,
10016,20822,35416,
10015,20822,35416,
10002,20822,35416,
10001,20822,35416,
10000,20822,35416,
40,20822,35416,
39,20822,35416,
36,20822,35416,
37,20822,35416,
38,20822,35416,
35,20822,35416,
10022,20822,35416,
10026,20822,35416,
10019,20822,35416,
10018,20822,35416,
10021,20822,35416,
10631,20822,35416,
10023,20822,35416,
10025,20822,35416,
10024,20822,35416,
10020,20822,35416,
10034,20822,54401,Shanghai@Loujiang
10035,20822,54401,
10036,20822,54401,
10037,20822,54401,
10038,20822,54401,
10039,20822,54401,
52,20822,54401,
47,20822,54401,
48,20822,54401,
51,20822,54401,
49,20822,54401,
50,20822,54401,
10028,20822,54401,
10029,20822,54401,
10030,20822,54401,
10033,20822,54401,
10032,20822,54401,
10031,20822,54401,
41,20822,54401,
42,20822,54401,
43,20822,54401,
44,20822,54401,
45,20822,54401,
46,20822,54401,
10051,20822,54401,
10050,20822,54401,
10049,20822,54401,
10048,20822,54401,
10047,20822,54401,
10046,20822,54401,
62,20822,54401,
63,20822,54401,
59,20822,54401,
60,20822,54401,
64,20822,54401,
61,20822,54401,
10045,20822,54401,
10044,20822,54401,
10043,20822,54401,
10042,20822,54401,
10041,20822,54401,
10040,20822,54401,
55,20822,54401,
54,20822,54401,
53,20822,54401,
56,20822,54401,
58,20822,54401,
57,20822,54401,
10063,20822,54401,
10058,20822,54401,
10053,20822,54401,
10056,20822,54401,
10052,20822,54401,
10055,20822,54401,
10059,20822,54401,
10061,20822,54401,
10057,20822,54401,
10062,20822,54401,
10054,20822,54401,
10060,20822,54401,
21,20822,14085,
22,20822,14085,
3,20822,41472,
4,20822,41472,
17,20822,54402,
18,20822,54402,
121,20822,41096,
122,20822,41096,
