LAC,CELLID,LAT,LON,MEAS,DIRECTION
20822,42044,31.45801,121.13025,0.77,0
20822,42045,31.45801,121.13025,0.77,0
20822,42046,31.45801,121.13025,0.77,0
20969,25405,31.44042,121.10102,0.1699,0
20969,35405,31.44042,121.10102,0.1699,0
20969,25438,31.44955,121.09871,0,0
20822,25491,31.452215,121.121225,0.3899,0
20822,35491,31.452215,121.121225,0.3899,0
20822,45491,31.452215,121.121225,0.3899,0
20969,25482,31.45098,121.101401,0.3899,0
20969,35482,31.45098,121.101401,0.3899,0
20822,42064,31.46292,121.12571,0.46,0
20822,42065,31.46292,121.12571,0.46,0
20822,42066,31.46292,121.12571,0.46,0
20822,2542,31.45474,121.12188,0.2299,0
20822,3542,31.45474,121.12188,0.2299,0
20822,45430,31.45689,121.12028,0,0
20822,55430,31.45689,121.12028,0,0
20822,14206,31.45883,121.12273,0.2999,0
20822,24206,31.45883,121.12273,0.2999,0
20969,42161,31.44061,121.07951,0,0
20969,42162,31.4406,121.0795,0,0
20969,42163,31.4406,121.0795,0,0
20822,25415,31.46189,121.13693,0.0199,0
20822,35415,31.46189,121.13693,0.0199,0
20822,25416,31.46348,121.14042,0.5399,0
20822,35416,31.46348,121.14042,0.5399,0
20822,25417,31.464322,121.131377,0.44,0
20822,35417,31.464322,121.131377,0.44,0
20822,45417,31.464322,121.131377,0.44,0
20969,24481,31.44041,121.10102,0.1699,0
